model,eval,rung,method,window,prr_mean,prr_std,n_seeds,degenerate_seeds,layers
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,md_mean_L3,ref,-0.03412,0.006496,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,md_mean_L30,ref,-0.225012,0.005766,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,md_mean_L32,ref,-0.109623,0.002479,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,md_mean_L4,ref,-0.034562,0.00309,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,md_mean_L5,ref,-0.059612,0.005612,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,md_mean_L6,ref,-0.075562,0.007705,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,md_mean_L7,ref,-0.096192,0.004322,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,md_mean_L8,ref,-0.062665,0.010407,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,md_mean_L9,ref,-0.071078,0.010171,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,rmd_mean_L0,ref,0.174151,0.004595,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,rmd_mean_L1,ref,0.145433,0.002563,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,rmd_mean_L10,ref,0.005113,0.008105,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,rmd_mean_L11,ref,-0.054408,0.005248,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,rmd_mean_L12,ref,-0.053892,0.004749,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,rmd_mean_L13,ref,-0.067265,0.005657,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
meta-llama/Meta-Llama-3.1-8B,asqa,DiffTask-long,rmd_mean_L14,ref,-0.040902,0.006078,3,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32
